Transaction_Number,Invoice_Number,Payment_Status,Payment_Method,Payment_Date
1001,101,FAILED,Card,2020-09-02
1002,102,PENDING,"Online Banking",2020-06-25
1003,103,PENDING,Card,2020-07-25
1004,107,SUCCESS,Cash,2020-11-22
1005,108,SUCCESS,Cash,2020-07-15
1006,104,SUCCESS,Card,2020-09-17
1008,103,FAILED,Card,2020-07-26
1009,105,PENDING,"Online Banking",2020-05-26
1010,110,SUCCESS,"Online Banking",2020-11-28
1011,106,SUCCESS,Card,2020-10-25
1012,109,FAILED,"Online Banking",2020-10-31
1013,111,PENDING,"Online Banking",2020-09-13
1014,112,PENDING,Card,2020-08-31
1015,113,FAILED,Card,2020-07-19
1016,114,PENDING,Cash,2020-09-09
1017,115,PENDING,Cash,2020-11-20
1018,116,PENDING,"Online Banking",2020-11-04
1019,117,FAILED,Card,2020-06-01
1020,115,FAILED,"Online Banking",2020-08-15
1021,114,SUCCESS,Cash,2020-07-22
1022,109,SUCCESS,Card,2020-06-30
1023,113,SUCCESS,Cash,2020-10-22
